vrg_id;megnevezes;marka_gyarto;gyartoi_cikkszam;gtin;kategoria_fo;kategoria_al;kategoria_ut;kategoria_forras;kategoria_javaslat_fo;kategoria_javaslat_al;tomeg_kg;egyseg;becsult_netto_ar_huf;becsult_brutto_ar_huf;ar_megfigyeles_datum;gyartoi_termek_link;megjegyzes;kedvenc;daniella_cikkszam;daniella_netto_egysegar_huf;daniella_brutto_egysegar_huf;daniella_listaar_netto_huf;daniella_engedmeny_szazalek;daniella_kiszereles;daniella_kiszereles_mennyiseg;daniella_aktualis_brutto_ar_huf;daniella_keszlet_db;daniella_termek_link;daniella_ar_ellenorizve;rendelesek_szama;osszes_rendelt_mennyiseg;elso_rendeles;utolso_rendeles;legacy_id;forras
VRG-0084;Legrand 754005 Valena Life 5-ös keret, tetszőleges, fehér;Legrand;754005;3414970454300;Szerelvények;Keretek;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Keretek;0,0692;db;2911,74;3698;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG754005_tanusitvany.pdf;;;LEG754005;2911,74;3698;3733;22;10 db;10;4741;480;https://daniella.hu/legrand-754005-valena-life-5-os-keret-tetszoleges-feher-id-leg754005;2026-09-20T08:04:44.407Z;1;1;2026.09.08;2026.09.08;LEG754005;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0085;Valena Life fehér kiemelődoboz 2-es 754192 Legrand;Legrand;754192;3414970453815;Szerelvények;Tartozékok;/Szerelvények/;daniella-webshop;Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;0,0989;db;3297,06;4187;2026.07.16;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG754192_tanusitvany.pdf;;;LEG754192;3297,06;4187;;;5 db;5;5368;63;https://daniella.hu/legrand-754192-valena-life-kiemelodoboz-2-es-feher-id-leg754192;2026-09-20T08:04:45.356Z;1;4;2026.07.16;2026.07.16;LEG754192;email:visszaigazolas
VRG-0086;Niloé fehér 101 egypólusú kapcsoló 764500 Legrand;Legrand;764500;3414970682239;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett kapcsolók;0,04945;db;674,7;857;2026.06.12;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG764500_tanusitvany.pdf;;;LEG764500;674,7;857;;;20 db;20;1098,99;1081;https://daniella.hu/legrand-764500-niloe-egypolusu-kapcsolo-feher-id-leg764500;2026-09-20T08:04:46.259Z;1;2;2026.06.12;2026.06.12;LEG764500;email:visszaigazolas + pdf:Ajánlat
VRG-0087;Niloé fehér 105 csillárkapcsoló 764506 ÚJ! Legrand;Legrand;764506;3414970682123;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett kapcsolók;0,0562;db;939,12;1193;2026.06.17;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG764506_tanusitvany.pdf;;;LEG764506;939,12;1193;;;20 db;20;1529;752;https://daniella.hu/legrand-764506-niloe-csillarkapcsolo-feher-id-leg764506;2026-09-20T08:04:47.175Z;1;1;2026.06.17;2026.06.17;LEG764506;email:visszaigazolas
VRG-0088;Legrand 764539 Niloé 2P+F csatlakozóaljzat gyermekvédelem nélkül, csavaros, fehér;Legrand;764539;3414971000919;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett csatlakozóaljzatok;0,0624;db;646,62;821;2026.06.12;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG764539_tanusitvany.pdf;;;LEG764539;646,62;821;;;20 db;20;1053;6994;https://daniella.hu/legrand-764539-niloe-2p-f-csatlakozoaljzat-gyermekvedelem-nelkul-csavaros-feher-id-leg764539;2026-09-20T08:04:48.070Z;1;1;2026.06.12;2026.06.12;LEG764539;email:visszaigazolas + pdf:Ajánlat
VRG-0089;Legrand 782373 Forix 2P+F CSF csatlakozóaljzat csapfedéllel IP44, falon kívüli, biztonsági zsalus (GYV), csavaros, fehér;Legrand;782373;3245067823736;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Falon kívüli szerelvények;0,1235;db;1526,46;1939;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG782373_tanusitvany.pdf;;;LEG782373;1526,46;1939;1957;22;10 db;10;2485;1051;https://daniella.hu/legrand-782373-forix-2p-f-csf-csatlakozoaljzat-csapfedellel-ip44-falon-kivuli-biztonsagi-zsalus-gyv-csavaros-feher-id-leg782373;2026-09-20T08:04:49.004Z;2;3;2026.06.12;2026.09.08;LEG782373;email:modositas + email:visszaigazolas + pdf:Megrendelés visszaigazolás + pdf:Ajánlat
VRG-0090;Legrand 782374 Forix 2x2P+F csatlakozóaljzat csapfedéllel IP44, biztonsági zsalus (GYV), falon kívüli, csavaros, fehér;Legrand;782374;3245067823743;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Falon kívüli szerelvények;0,225;db;2804,88;3562;2026.06.12;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG782374_tanusitvany.pdf;;;LEG782374;2804,88;3562;;;5 db;5;4567;797;https://daniella.hu/legrand-782374-forix-2x2p-f-csatlakozoaljzat-csapfedellel-ip44-biztonsagi-zsalus-gyv-falon-kivuli-csavaros-feher-id-leg782374;2026-09-20T08:04:49.968Z;1;1;2026.06.12;2026.06.12;LEG782374;email:visszaigazolas + pdf:Ajánlat
VRG-0091;Forix IP20 fehér 101 egypólusú kapcsoló fk. 782400 Legrand;Legrand;782400;3245067824009;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Falon kívüli szerelvények;0,043958;db;715,26;908;2026.07.29;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG782400_tanusitvany.pdf;;;LEG782400;715,26;908;;;20 db;20;1165;1320,7;https://daniella.hu/legrand-782400-forix-egypolusu-kapcsolo-ip20-falon-kivuli-10ax-250v-feher-id-leg782400;2026-09-20T08:04:51.016Z;2;6;2026.07.24;2026.07.29;LEG782400;email:visszaigazolas
VRG-0092;Forix IP20 fehér 101+101 kettős egypólusú kapcsoló fk. 782402 Legrand;Legrand;782402;3245067824023;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Falon kívüli szerelvények;0,048458;db;980,46;1245;2026.07.29;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG782402_tanusitvany.pdf;;;LEG782402;980,46;1245;;;20 db;20;1596;407;https://daniella.hu/legrand-782402-forix-kettos-egypolusu-kapcsolo-ip20-falon-kivuli-10ax-250v-feher-id-leg782402;2026-09-20T08:04:51.927Z;1;1;2026.07.29;2026.07.29;LEG782402;email:visszaigazolas
VRG-0093;Niloé Step fehér keret 3-as 863193 Legrand;Legrand;863193;3414971836389;Szerelvények;Keretek;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Keretek;0,2151;db;804,18;1021;2026.06.12;;;;LEG863193;804,18;1021;;;;;1309;1231;https://daniella.hu/niloe-step-feher-keret-3-as-863193-legrand-id-leg863193;2026-09-20T08:04:52.909Z;0;0;;;LEG863193;pdf:Ajánlat
VRG-0094;Sittes zsák vastag 90x55cm;N/A;;;Szerszámok;Fóliák;/Segédanyagok, segédeszközök/Szerszámok/;daniella-webshop;Munkavédelem és segédanyagok;Szerelési segédanyagok;;db;131,14;167;2026.09.08;;;;NVT10009;131,14;167;158;17;25 db;25;201;3072;https://daniella.hu/sittes-zsak-vastag-90x55cm-id-nvt10009;2026-09-20T08:04:53.803Z;1;5;2026.09.08;2026.09.08;NVT10009;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0095;Gégecső toldó 20 MFL20 Inset;Inset;MFL20;8010730002511;Installáció technika;Toldók;/Villanyszerelési védőcsövek és tartozékai/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,03;db;85,12;108;2026.09.17;;;;NYUGMFL20;85,12;108;;;50 db;50;142;3920;https://daniella.hu/gegecso-toldo-20-mfl20-inset-id-nyugmfl20;2026-09-20T08:04:54.665Z;3;25;2026.07.27;2026.09.17;NYUGMFL20;email:modositas + email:visszaigazolas
VRG-0096;Gégecső toldó 25 MFL25 Inset;Inset;MFL25;8010730002528;Installáció technika;Toldók;/Villanyszerelési védőcsövek és tartozékai/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,04;db;98,8;125;2026.07.27;;;;NYUGMFL25;98,8;125;;;20 db;20;165;2241;https://daniella.hu/gegecso-toldo-25-mfl25-inset-id-nyugmfl25;2026-09-20T08:04:55.574Z;1;5;2026.07.27;2026.07.27;NYUGMFL25;email:visszaigazolas
VRG-0097;OBO Kötődoboz 85* 85 A11 IP55 2000342;OBO Bettermann;2000342;4012195152170;Installáció technika;Falon kívüli dobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Falon kívüli kötődobozok;0,0455;db;268,45;341;2026.06.12;https://www.obo.hu/out/media/VBS_hu_2000342_A_11_01_03_2021.pdf;;;OBO2000342;268,45;341;;;1 db;1;577;5708;https://daniella.hu/obo-kotodoboz-85-85-a11-ip55-2000342-id-obo2000342;2026-09-20T08:04:56.535Z;1;4;2026.06.12;2026.06.12;OBO2000342;email:visszaigazolas + pdf:Ajánlat
VRG-0098;Kötődoboz 100x100x38 A14 OBO 2000378 sorkapocs nélkül PE IP55 világosszürke;OBO Bettermann;2000378;4012195917090;Installáció technika;Falon kívüli dobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Falon kívüli kötődobozok;0,05855;db;496,91;631;2026.09.08;https://www.obo.hu/out/media/VBS_hu_2000378_A_14_01_03_2021.pdf;;;OBO2000378;496,91;631;629;21;1 db;1;799;3207;https://daniella.hu/kotodoboz-100x100x38-a14-obo-2000378-sorkapocs-nelkul-pe-ip55-vilagosszurke-id-obo2000378;2026-09-20T08:04:57.479Z;1;4;2026.09.08;2026.09.08;OBO2000378;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0099;Műanyag doboz 65mm, perforált, sorolható, 46mm mély, UG 46 2003700 OBO;OBO Bettermann;2003700;4012196689897;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;0,0193;db;53,72;68;2026.09.08;https://www.obo.hu/out/media/VBS_hu_2003700_UG_46_05_05_2021.pdf;;;OBO2003700;53,72;68;68;21;25 db;25;86,36;15067;https://daniella.hu/muanyag-doboz-65mm-perforalt-sorolhato-46mm-mely-ug-46-2003700-obo-id-obo2003700;2026-09-20T08:04:58.586Z;1;15;2026.09.08;2026.09.08;OBO2003700;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0100;Műanyag doboz 65mm, perforált, sorolható, 66mm mély, UG 66 2003702 OBO;OBO Bettermann;2003702;4012196689910;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;0,0239;db;83,74;106;2026.09.08;https://www.obo.hu/out/media/VBS_hu_2003702_UG_66_05_05_2021.pdf;;;OBO2003702;83,74;106;106;21;25 db;25;135;10231;https://daniella.hu/muanyag-doboz-65mm-perforalt-sorolhato-66mm-mely-ug-66-2003702-obo-id-obo2003702;2026-09-20T08:04:59.634Z;1;10;2026.09.08;2026.09.08;OBO2003702;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0101;OBO X16 H25 GNP5 LGR Leágazódoboz f vezetéki sorkapoccsal 240x191x125 világosszürke 2005312;OBO Bettermann;2005312;4012196585861;Installáció technika;Falon kívüli dobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Falon kívüli kötődobozok;1,11;db;20778,58;26389;2026.09.04;https://www.obo.hu/out/media/VBS_hu_2005312_X16_H25_GNP5_LGR_12_01_2021.pdf;;;OBO2005312;20778,58;26389;;;1 db;1;33404;2;https://daniella.hu/obo-x16-h25-gnp5-lgr-leagazodoboz-f-vezeteki-sorkapoccsal-240x191x125-vilagosszurke-2005312-id-obo2005312;2026-09-20T08:05:00.642Z;2;4;2026.08.27;2026.09.04;OBO2005312;email:modositas + email:beerkezes + xlsx/mail:anyagar_sablon_Laci.xlsx + Anyagok Forgáchba.eml
VRG-0102;Tömszelence M32 +anya 15-21mm IP68 V-TEC VM32+ LGR szürke 2022770 OBO;OBO Bettermann;2022770;4012195860969;Installáció technika;Tömszelencék;/Tömszelencék és szigetelő gyűrűk/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,0284;db;;;;https://www.obo.hu/out/media/VBS_hu_2022770_V-TEC_VM32+_LGR_25_01_2021.pdf;;;OBO2022770;;;;;;;1271;6;https://daniella.hu/tomszelence-m32-anya-15-21mm-ip68-v-tec-vm32-lgr-szurke-2022770-obo-id-obo2022770;2026-09-20T08:05:01.652Z;1;8;2026.08.27;2026.08.27;OBO2022770;email:beerkezes + xlsx/mail:anyagar_sablon_Laci.xlsx + Anyagok Forgáchba.eml
VRG-0103;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;OBO Bettermann;2149010;4012195583936;Installáció technika;Csőbilincsek;/Kábelek, csövek rögzítés technikája/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,00325;db;31,6;40;2026.09.10;https://www.obo.hu/out/media/VBS_hu_2149010_2955_M20_28_06_2021.pdf;;;OBO2149010;31,6;40;40;21;100 db;100;50,8;101589;https://daniella.hu/obo-quick-csobilincs-m20-2955-mu-ii-2149010-id-obo2149010;2026-09-20T08:05:02.541Z;3;140;2026.08.05;2026.09.10;OBO2149010;email:modositas + email:visszaigazolas + pdf:Megrendelés visszaigazolás
VRG-0104;Csőbilincs D-25 OBO M25 2955 /MÜ.II/ Quick 2149016;OBO Bettermann;2149016;4012195583998;Installáció technika;Csőbilincsek;/Kábelek, csövek rögzítés technikája/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,0043;db;52,14;66;2026.08.05;https://www.obo.hu/out/media/VBS_hu_2149016_2955_M25_28_06_2021.pdf;;;OBO2149016;52,14;66;;;100 db;100;83,82;52490;https://daniella.hu/obo-quick-csobilincs-m25-2955-mu-ii-2149016-id-obo2149016;2026-09-20T08:05:03.618Z;2;120;2026.06.12;2026.08.05;OBO2149016;email:visszaigazolas + pdf:Ajánlat
VRG-0105;Csőbilincs D-32 OBO M32 2955 /Mü.II/ Quick 2149022;OBO Bettermann;2149022;4012195584056;Installáció technika;Csőbilincsek;/Kábelek, csövek rögzítés technikája/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,0062;db;81,37;103;2026.09.14;https://www.obo.hu/out/media/VBS_hu_2149022_2955_M32_28_06_2021.pdf;;;OBO2149022;81,37;103;;;50 db;50;131;18329;https://daniella.hu/obo-quick-csobilincs-m32-2955-mu-ii-2149022-id-obo2149022;2026-09-20T08:05:04.798Z;2;30;2026.08.27;2026.09.14;OBO2149022;email:visszaigazolas + email:beerkezes + xlsx/mail:anyagar_sablon_Laci.xlsx + Anyagok Forgáchba.eml
VRG-0106;OBO bilincs 2037 6-13mm 2250136;OBO Bettermann;2250136;4012195221357;Installáció technika;Kábelbilincsek;/Kábelek, csövek rögzítés technikája/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,00359;db;65,57;83;2026.06.12;https://www.obo.hu/out/media/VBS_hu_2250136_2037_6-13_LGR_19_03_2021.pdf;;;OBO2250136;65,57;83;;;1 db;1;105;25392;https://daniella.hu/obo-bilincs-2037-6-13mm-2250136-id-obo2250136;2026-09-20T08:05:05.759Z;1;25;2026.06.12;2026.06.12;OBO2250136;email:visszaigazolas + pdf:Ajánlat
VRG-0107;OBO bilincs 2037 12-20mm 2250209;OBO Bettermann;2250209;4012195221418;Installáció technika;Kábelbilincsek;/Kábelek, csövek rögzítés technikája/Installáció technika/;daniella-webshop;Installáció technika;Csőidomok, bilincsek, tömszelencék;0,00572;db;94,8;120;2026.08.24;https://www.obo.hu/out/media/VBS_hu_2250209_2037_12-20_LGR_19_03_2021.pdf;;;OBO2250209;94,8;120;;;1 db;1;152,01;7307;https://daniella.hu/obo-bilincs-2037-12-20mm-2250209-id-obo2250209;2026-09-20T08:05:06.661Z;1;100;2026.08.24;2026.08.24;OBO2250209;email:visszaigazolas + xlsx/mail:deseo2 másolata.xlsx
VRG-0108;OBO 219 20 ST FT rúdföldelő standard 1,5m 5000750 helyette ideiglenesen: OBO5000947;OBO Bettermann;;4012195814450;Villámvédelem;Rúdföldelő és tartozékok;/Földelési rendszerek/Villámvédelem/;daniella-webshop;Villámvédelem és földelés;Földelők és földelő tartozékok;3,7;db;8080,91;10263;2026.09.08;https://www.obo.hu/out/media/02-200_EGK_219.pdf;;;OBO5000750XXX1;8080,91;10263;;;1 db;1;12991;56;https://daniella.hu/obo-219-20-st-ft-rudfoldelo-standard-1-5m-5000750-id-obo5000750xxx1;2026-09-20T08:05:07.542Z;2;6;2026.07.06;2026.09.08;OBO5000750XXX1;email:modositas + email:visszaigazolas + xlsx/mail:anyagar_sablon50_garázs földelés.xlsx
VRG-0109;OBO 2760 20 FT csatlakozóbilincs kör- és laposvezetőhöz 20mm 5001641;OBO Bettermann;5001641;4012195372912;Villámvédelem;Rúdföldelő és tartozékok;/Földelési rendszerek/Villámvédelem/;daniella-webshop;Villámvédelem és földelés;Földelők és földelő tartozékok;0,275;db;2813,19;3573;2026.09.08;https://www.obo.hu/out/media/02-200_EGK_2760.pdf;;;OBO5001641;2813,19;3573;;;1 db;1;4522;26;https://daniella.hu/obo-2760-20-ft-csatlakozobilincs-kor--es-laposvezetohoz-20mm-5001641-id-obo5001641;2026-09-20T08:05:08.466Z;1;1;2026.09.08;2026.09.08;OBO5001641;email:modositas + email:visszaigazolas + xlsx/mail:anyagar_sablon50_garázs földelés.xlsx
VRG-0110;Fővezeték sorkapocs 2x 25/2x16mm2 szürke HLAK 25-1/2 M2, 2080136 Pollmann;Pollmann;2080136;4025221400671;Energiaelosztás;Fővezeték sorkapcsok, elosztókapcsok és elosztóblokkok;/Áramelosztás/Energiaelosztás/;daniella-webshop;Kötéstechnika;Fővezetéki sorkapcsok;0,05;db;927,11;1177;2026.08.25;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/POL2080136_tanusitvany.pdf;;;POL2080136;927,11;1177;;;1 db;1;1419;312;https://daniella.hu/fovezetek-sorkapocs-2x-25-2x16mm2-szurke-hlak-25-1-2-m2-2080136-pollmann-id-pol2080136;2026-09-20T08:05:09.661Z;1;1;2026.08.25;2026.08.25;POL2080136;email:visszaigazolas
VRG-0111;Fővezeték sorkapocs 2x 25/2x16mm2 kék HLAK 25-1/2 M2, 2080137 Pollmann;Pollmann;2080137;4025221400688;Energiaelosztás;Fővezeték sorkapcsok, elosztókapcsok és elosztóblokkok;/Áramelosztás/Energiaelosztás/;daniella-webshop;Kötéstechnika;Fővezetéki sorkapcsok;0,08;db;927,11;1177;2026.08.25;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/POL2080137_tanusitvany.pdf;;;POL2080137;927,11;1177;;;1 db;1;1419;236;https://daniella.hu/fovezetek-sorkapocs-2x-25-2x16mm2-kek-hlak-25-1-2-m2-2080137-pollmann-id-pol2080137;2026-09-20T08:05:10.568Z;1;1;2026.08.25;2026.08.25;POL2080137;email:visszaigazolas
VRG-0112;Fővezeték sorkapocs 2x 25/2x16mm2 z/s HLAK 25-1/2 M2, 2080138 Pollmann;Pollmann;2080138;4025221400695;Energiaelosztás;Fővezeték sorkapcsok, elosztókapcsok és elosztóblokkok;/Áramelosztás/Energiaelosztás/;daniella-webshop;Kötéstechnika;Fővezetéki sorkapcsok;0,08;db;927,11;1177;2026.08.25;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/POL2080138_tanusitvany.pdf;;;POL2080138;927,11;1177;;;1 db;1;1419;196;https://daniella.hu/fovezetek-sorkapocs-2x-25-2x16mm2-z-s-hlak-25-1-2-m2-2080138-pollmann-id-pol2080138;2026-09-20T08:05:11.453Z;2;2;2026.07.13;2026.08.25;POL2080138;email:visszaigazolas
VRG-0113;Fővezeték sorkapocs 2x 35/6x25mm2 szürke HLAK 35-1/6 M2, 2080183 Pollmann;Pollmann;2080183;4025221401357;Energiaelosztás;Fővezeték sorkapcsok, elosztókapcsok és elosztóblokkok;/Áramelosztás/Energiaelosztás/;daniella-webshop;Kötéstechnika;Fővezetéki sorkapcsok;0,1;db;2720,74;3455;2026.07.09;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/POL2080183_tanusitvany.pdf;;;POL2080183;2720,74;3455;;;1 db;1;4163;171;https://daniella.hu/fovezetek-sorkapocs-2x-35-6x25mm2-szurke-hlak-35-1-6-m2-2080183-pollmann-id-pol2080183;2026-09-20T08:05:12.693Z;1;1;2026.07.09;2026.07.09;POL2080183;email:visszaigazolas
VRG-0114;Fővezeték sorkapocs 2x 35/6x25mm2 kék HLAK 35-1/6 M2, 2080184 Pollmann;Pollmann;2080184;4025221401364;Energiaelosztás;Fővezeték sorkapcsok, elosztókapcsok és elosztóblokkok;/Áramelosztás/Energiaelosztás/;daniella-webshop;Kötéstechnika;Fővezetéki sorkapcsok;0,152;db;2720,74;3455;2026.07.09;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/POL2080184_tanusitvany.pdf;;;POL2080184;2720,74;3455;;;1 db;1;4163;140;https://daniella.hu/fovezetek-sorkapocs-2x-35-6x25mm2-kek-hlak-35-1-6-m2-2080184-pollmann-id-pol2080184;2026-09-20T08:05:13.584Z;1;1;2026.07.09;2026.07.09;POL2080184;email:visszaigazolas
VRG-0115;Fővezeték sorkapocs 2x 35/6x25mm2 zöld HLAK 35-1/6 M2, 2080185 Pollmann;Pollmann;2080185;4025221401371;Energiaelosztás;Fővezeték sorkapcsok, elosztókapcsok és elosztóblokkok;/Áramelosztás/Energiaelosztás/;daniella-webshop;Kötéstechnika;Fővezetéki sorkapcsok;0,153;db;2720,74;3455;2026.07.17;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/POL2080185_tanusitvany.pdf;;;POL2080185;2720,74;3455;;;1 db;1;4163;149;https://daniella.hu/fovezetek-sorkapocs-2x-35-6x25mm2-zold-hlak-35-1-6-m2-2080185-pollmann-id-pol2080185;2026-09-20T08:05:14.713Z;1;1;2026.07.17;2026.07.17;POL2080185;email:visszaigazolas
VRG-0116;Védőkesztyű, precíziós nitril, fekete, XL- es GP Grip 18 A374K8RXL Portwest;Portwest;A374K8RXL;5036108444908;Munkavédelem, védőruházat;Védőkesztyűk, kézvédők;/Munkavédelem, védőruházat/;daniella-webshop;Munkavédelem és segédanyagok;Munkavédelem;0,999;pár;1127,7;1432;2026.09.08;https://documents.portwest.com/declaration_eu.php?style=A374&lang=HU&itemcol=A374K8R;;;PORA374K8RXL;1127,7;1432;1253;10;1 pár;1;1591,01;478;https://daniella.hu/vedokesztyu-precizios-nitril-fekete-xl-es-gp-grip-18-a374k8rxl-portwest-id-pora374k8rxl;2026-09-20T08:05:16.162Z;1;2;2026.09.08;2026.09.08;PORA374K8RXL;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0117;ASFORA fehér 106 rugós kerettel EPH0400121;Schneider Electric;EPH0400121;3606480525087;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett kapcsolók;0,0724;db;1035;1314;2026.07.27;https://checkaproduct.se.com/DistantRequestDispatcher.aspx?action=exportPdfReach&pid=267738286&lang=hu-hu;;;SCHEPH0400121;1035;1314;;;10 db;10;1752,99;49493;https://daniella.hu/asfora-valtokapcsolo-rugos-bekotes-kerettel-feher-106-eph0400121-schneider-id-scheph0400121;2026-09-20T08:05:17.348Z;1;2;2026.07.27;2026.07.27;SCHEPH0400121;email:visszaigazolas
VRG-0118;ASFORA fehér 2P+F csatlakozóaljzat kerettel EPH2900121;Schneider Electric;EPH2900121;3606480526084;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett csatlakozóaljzatok;0,07925;db;874,5;1111;2026.07.27;https://checkaproduct.se.com/DistantRequestDispatcher.aspx?action=exportPdfReach&pid=267736190&lang=hu-hu;;;SCHEPH2900121;874,5;1111;;;10 db;10;1481;95078;https://daniella.hu/asfora-2p-f-csatlakozoaljzat-csavaros-kerettel-feher-eph2900121-schneider-id-scheph2900121;2026-09-20T08:05:18.287Z;1;15;2026.07.27;2026.07.27;SCHEPH2900121;email:visszaigazolas
VRG-0119;ASFORA fehér 2P+F csatlakozóaljzat, keret nélkül! EPH2970121 (120 db-os);Schneider Electric;EPH2970121;3606480987083;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett csatlakozóaljzatok;0,069;db;854,4;1085;2026.08.24;https://checkaproduct.se.com/DistantRequestDispatcher.aspx?action=exportPdfReach&pid=487226323&lang=hu-hu;;;SCHEPH2970121;854,4;1085;;;120 db;120;1356;173933;https://daniella.hu/asfora-2p-f-aljzat-csavaros-keret-nelkul-feher-eph2970121-id-scheph2970121;2026-09-20T08:05:19.384Z;1;3;2026.08.24;2026.08.24;SCHEPH2970121;email:visszaigazolas
VRG-0120;ASFORA fehér 2P+F CSF csapfedeles kerettel EPH3100121;Schneider Electric;EPH3100121;3606480526268;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett csatlakozóaljzatok;0,08575;db;1996,8;2536;2026.09.01;https://checkaproduct.se.com/DistantRequestDispatcher.aspx?action=exportPdfReach&pid=267737330&lang=hu-hu;;;SCHEPH3100121;1996,8;2536;;;10 db;10;3170;9476;https://daniella.hu/asfora-2p-f-csatlakozoaljzat-csapfedeles-csavaros-kerettel-feher-eph3100121-schneider-id-scheph3100121;2026-09-20T08:05:20.410Z;1;2;2026.09.01;2026.09.01;SCHEPH3100121;email:visszaigazolas
VRG-0121;ASFORA fehér TV aljzat végzáró 1 dB kerettel EPH3200121;Schneider Electric;EPH3200121;3606480526329;Installáció technika;Antenna technika;/Installáció technika/;daniella-webshop;Gyengeáram és adathálózat;Csatlakozók és aljzatok;0,0878;db;1824,75;2317;2026.07.31;https://checkaproduct.se.com/DistantRequestDispatcher.aspx?action=exportPdfReach&pid=268060389&lang=hu-hu;;;SCHEPH3200121;1824,75;2317;;;10 db;10;3090;4135;https://daniella.hu/asfora-tv-aljzat-vegzaro-1-db-kerettel-feher-eph3200121-schneider-id-scheph3200121;2026-09-20T08:05:21.421Z;2;2;2026.07.29;2026.07.31;SCHEPH3200121;email:visszaigazolas
