vrg_id;megnevezes;marka_gyarto;gyartoi_cikkszam;gtin;kategoria_fo;kategoria_al;kategoria_ut;kategoria_forras;kategoria_javaslat_fo;kategoria_javaslat_al;tomeg_kg;egyseg;becsult_netto_ar_huf;becsult_brutto_ar_huf;ar_megfigyeles_datum;gyartoi_termek_link;megjegyzes;kedvenc;daniella_cikkszam;daniella_netto_egysegar_huf;daniella_brutto_egysegar_huf;daniella_listaar_netto_huf;daniella_engedmeny_szazalek;daniella_kiszereles;daniella_kiszereles_mennyiseg;daniella_aktualis_brutto_ar_huf;daniella_keszlet_db;daniella_termek_link;daniella_ar_ellenorizve;rendelesek_szama;osszes_rendelt_mennyiseg;elso_rendeles;utolso_rendeles;legacy_id;forras
VRG-0064;PO I 3+1 m 280V túlfeszültség levezető 12,5kA T1+T2+T3 (B+C+D) 81.027 KIWA;KIWA;81027;8586006771431;Villámvédelem;2-es típusú túlfeszültség levezető;/Túlfeszültség-levezetők/Villámvédelem/;daniella-webshop;Villámvédelem és földelés;Túlfeszültség-védelem;;db;34845,3;44254;2026.06.12;https://www.kiwa.sk/wp-content/uploads/2017/11/esPOI-1-1.pdf;;;KIWA81027;34845,3;44254;;;1 db;1;63219;5;https://daniella.hu/po-i-3-1-m-280v-tulfeszultseg-levezeto-12-5ka-t1-t2-t3-b-c-d-81-027-kiwa-id-kiwa81027;2026-09-20T08:04:24.445Z;1;1;2026.06.12;2026.06.12;KIWA81027;email:visszaigazolas + pdf:Ajánlat
VRG-0065;Gipszkarton doboz 2-es, 49mm mély, sárga, légtömített KPL 64-50/2LD NA Kopos;Kopos;KPL64502LDNA;8595568926968;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Gipszkarton dobozok;0,057;db;876;1113;2026.09.01;https://www.kopos.hu/sites/default/files/product_attachments/2023/09/eu_conformity_declaration_boxes_to_hollow_walls_en.pdf;;;KOPKPL64502LDNA;876;1113;;;1 db;1;1483;2837;https://daniella.hu/gipszkarton-doboz-2-es-49mm-mely-sarga-legtomitett-kpl-64-50-2ld-na-kopos-id-kopkpl64502ldna;2026-09-20T08:04:25.350Z;1;2;2026.09.01;2026.09.01;KOPKPL64502LDNA;email:visszaigazolas
VRG-0066;Gipszkarton doboz 3-as, 49mm mély, sárga, légtömített KPL 64-50/3LD NA Kopos;Kopos;KPL64503LDNA;8595568927705;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Gipszkarton dobozok;0,18;db;1239;1574;2026.09.01;https://www.kopos.hu/sites/default/files/product_attachments/2024/12/eu_declaration_double-phase_injection_boxes_kpl_kol_ko_en.pdf;;;KOPKPL64503LDNA;1239;1574;;;1 db;1;2098;978;https://daniella.hu/gipszkarton-doboz-3-as-49mm-mely-sarga-legtomitett-kpl-64-50-3ld-na-kopos-id-kopkpl64503ldna;2026-09-20T08:04:26.342Z;3;6;2026.06.12;2026.09.01;KOPKPL64503LDNA;email:visszaigazolas + pdf:Ajánlat
VRG-0067;Gipszkarton doboz 5-ös, 50mm mély, sárga, légtömített KPL 64-50/5LD NA Kopos;Kopos;KPL64505LDNA;8595568934246;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Gipszkarton dobozok;0,2;db;1857,75;2359;2026.09.01;https://www.kopos.hu/sites/default/files/product_attachments/2024/12/eu_declaration_double-phase_injection_boxes_kpl_kol_ko_en.pdf;;;KOPKPL64505LDNA;1857,75;2359;;;1 db;1;3146,01;224;https://daniella.hu/gipszkarton-doboz-5-os-50mm-mely-sarga-legtomitett-kpl-64-50-5ld-na-kopos-id-kopkpl64505ldna;2026-09-20T08:04:27.285Z;1;2;2026.09.01;2026.09.01;KOPKPL64505LDNA;email:visszaigazolas
VRG-0068;Gipszkarton doboz 1-es, d68mm, 50mm mély, sárga, légtömített KPL 64-50/LD NA Kopos;Kopos;KPL6450LDNA;8595568925299;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Gipszkarton dobozok;0,0245;db;408,85;519;2026.06.17;https://www.kopos.hu/sites/default/files/product_attachments/2024/12/eu_declaration_double-phase_injection_boxes_kpl_kol_ko_en.pdf;;;KOPKPL6450LDNA;408,85;519;;;1 db;1;799;4205;https://daniella.hu/gipszkarton-doboz-1-es-d68mm-50mm-mely-sarga-legtomitett-kpl-64-50-ld-na-kopos-id-kopkpl6450ldna;2026-09-20T08:04:28.195Z;1;1;2026.06.17;2026.06.17;KOPKPL6450LDNA;email:visszaigazolas
VRG-0069;Kötődoboz 100x100 süllyesztett, müds csavaros KOPP 356102005;KOPP;356102005;9008223561026;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Süllyesztett kötődobozok és fedelek;0,066;db;756,13;960;2026.08.05;;;;KOPP356102005;756,13;960;;;1 db;1;1157;45;https://daniella.hu/kotodoboz-100x100mm-sullyesztett-muds-csavaros-kopp-356102005-id-kopp356102005;2026-09-20T08:04:29.066Z;1;2;2026.08.05;2026.08.05;KOPP356102005;email:visszaigazolas
VRG-0070;Parapet csatorna 90x55 fehér, PK 90X55 D HD Kopos (12 fm/köteg);Kopos;K90X55DHD;8595057688056;Installáció technika;Műanyag kábelcsatornák;/Kábelcsatornák/Kábelek, csövek rögzítés technikája/Installáció technika/;daniella-webshop;Installáció technika;Kábelcsatornák és parapetcsatornák;0,855;fm;3186,75;4047;2026.06.12;https://www.kopos.hu/sites/default/files/product_attachments/2026/01/eu_megfelelosegi_nyilatkozat_villanyszerelesi_csatornak_pvc_hu.pdf;;;KOPPK90X55DHD;3186,75;4047;;;;;5396;64;https://daniella.hu/parapet-csatorna-90x55-feher-pk-90x55-d-hd-kopos-12-fm-koteg-id-koppk90x55dhd;2026-09-20T08:04:30.270Z;0;0;;;KOPPK90X55DHD;pdf:Ajánlat
VRG-0071;DFO-16 LEG. 050316 2+F dugvilla. műa. fehér;Legrand;050316;3245060503161;Installáció technika;Dugvillák;/Dugvillák és aljzatok/Installáció technika/;daniella-webshop;Kapcsolók és csatlakozók;Dugvillák és csatlakozók;0,03252;db;480,48;610;2026.07.31;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG050316_tanusitvany.pdf;;;LEG050316;480,48;610;;;25 db;25;782;9385;https://daniella.hu/legrand-050316-2p-f-dugvilla-muanyag-feher-oldalso-kivezetessel-id-leg050316;2026-09-20T08:04:31.463Z;1;1;2026.07.31;2026.07.31;LEG050316;email:visszaigazolas
VRG-0072;Plexo 55 falon kívüli 2x2P+F elővezetékezett vízszintes csatlakozóaljzat csapófedéllel, összeszerelt, szürke 069742L Legrand;Legrand;069742L;3414971882232;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Falon kívüli szerelvények;0,2812;db;8221,98;10442;2026.06.12;;;;LEG069742L;8221,98;10442;;;5 db;5;13386,99;62;https://daniella.hu/plexo-55-falon-kivuli-2x2p-f-elovezetekezett-vizszintes-csatlakozoaljzat-csapofedellel-osszeszerelt-szurke-069742l-legrand-id-leg069742l;2026-09-20T08:04:32.458Z;1;1;2026.06.12;2026.06.12;LEG069742L;email:visszaigazolas + pdf:Ajánlat
VRG-0073;LEGRAND 413102 OH kalapsínre szerelhető RJ45 port Cat6 árnyékolt (FTP) 250MHz - 1 Gigabit/s;Legrand;413102;3414971852884;Automatizálás;Adat- és telekommunikáció;/Automatizálás/;daniella-webshop;Gyengeáram és adathálózat;Csatlakozók és aljzatok;0,17;db;2226,12;2827;2026.09.08;;;;LEG413102;2226,12;2827;2854;22;4 db;4;3625;6;https://daniella.hu/legrand-413102-oh-kalapsinre-szerelheto-rj45-port-cat6-arnyekolt-ftp-250mhz---1-gigabit-s-id-leg413102;2026-09-20T08:04:33.513Z;1;2;2026.09.08;2026.09.08;LEG413102;email:modositas + pdf:Megrendelés visszaigazolás
