bizonylat;datum;tipus;vrg_id;daniella_cikkszam;megnevezes_a_bizonylaton;mennyiseg;egyseg_kiszereles;netto_egysegar_huf;brutto_ertek_huf;hivatkozas;forras_fajl
14408/26VRD1;2026.09.08;modositas;VRG-0098;OBO2000378;Kötődoboz 100x100x38 A14 IP55 OBO 2000378;4,00 db;1 db;496,91;2524;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0215;WAGO2273203;WAGO 3x 0,5-2,5mm2 vez.összekötő narancs 2273-203;100,00 db;100 db;47,45;6026;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0057;KAB1400014;(939082 ) NYY-J 3x 1,5 (0) RE;30,00 fm;1 fm;339,3;12927;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0012;DEL1745;LED reflektor 30W 4000K mozgásérzékelős 2400lm IP65 120 fok SMD, lapos, fekete delux DEL1745;1,00 db;1 db;7559,4;9600;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0020;EKP4377STANDARD;SMR-M 230V Kapcsoló alá szerelhető dimmer, Elko Ep, 4377;1,00 db;1 db;21395,74;27173;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0084;LEG754005;Valena Life fehér keret 5-ös, tetszőleges 754005 Legrand;1,00 db;10 db;2911,74;3698;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0184;VEZ1000133;(989689 ) Számítógép vezeték CAT6 - UTP fali réz PVC (0) BITNER;50,00 fm;1 fm;170,17;10806;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0004;BELDE1583EVAGOS;(939081 ) Számítógép vezeték CAT5 E - UTP fali réz PVC (0) BELDEN 1583e;40,00 fm;1 fm;161,46;8202;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0081;LEG753142;Valena Life fehér 1xRJ45 UTP Cat6 aljzat 753142 Legrand;1,00 db;5 db;4891,38;6212;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0073;LEG413102;LEGRAND 413102 OH kalapsínre szerelhető RJ45 port Cat6 árnyékolt (FTP) 250MHz - 1 Gigabit/s;2,00 db;4 db;2226,12;5654;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0063;KIWA81004;Túlfesz.védő PO I 4 280V 12,5kA T1+T2+T3 (B+C+D) KIWA 81.004;1,00 db;1 db;32929,4;41820;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0046;HENKKL54;Fővezeték sorkapocs 5P 4x1,5-25mm2 szürke-kék-z/s KKL 54 Hensel;1,00 db;1 db;9618,96;12216;;FIGYELEM! A rendelés módosult! (10).eml
