vrg_id;legacy_id;datum;bizonylat;vendor;netto_egysegar_huf;szamitott_brutto_huf;forras_tipus
VRG-0215;WAGO2273203;2026.07.27;11893/26VRD1;daniella;47,45;60;visszaigazolas
VRG-0215;WAGO2273203;2026.09.07;14408/26VRD1;daniella;47,45;60;pdf
VRG-0215;WAGO2273203;2026.09.08;14408/26VRD1;daniella;47,45;60;modositas
VRG-0216;WAGO2273205;2026.07.27;11893/26VRD1;daniella;65,7;83;visszaigazolas
VRG-0217;WEI1560650000;2026.06.17;02762/26VR8;daniella;802,75;1019;visszaigazolas
VRG-0217;WEI1560650000;2026.08.24;13509/26VRD1;daniella;1004,4;1276;visszaigazolas
VRG-0217;WEI1560650000;2026.08.24;13509/26VRD1;daniella;1004,4;1276;visszaigazolas
VRG-0218;WEI1560670000;2026.06.17;02762/26VR8;daniella;802,75;1019;visszaigazolas
VRG-0218;WEI1560670000;2026.08.24;13509/26VRD1;daniella;1004,4;1276;visszaigazolas
VRG-0218;WEI1560670000;2026.08.24;13509/26VRD1;daniella;1004,4;1276;visszaigazolas
VRG-0219;WEI1560730000;2026.06.17;02762/26VR8;daniella;802,75;1019;visszaigazolas
VRG-0219;WEI1560730000;2026.07.24;07665/26VRB;daniella;830,8;1055;visszaigazolas
VRG-0219;WEI1560730000;2026.08.18;08554/26VRB;daniella;830,8;1055;visszaigazolas
VRG-0219;WEI1560730000;2026.08.24;13509/26VRD1;daniella;1004,4;1276;visszaigazolas
VRG-0219;WEI1560730000;2026.08.24;13509/26VRD1;daniella;1004,4;1276;visszaigazolas
VRG-0220;WEI2657810000;2026.07.31;12218/26VRU;daniella;716,85;910;visszaigazolas
